,HT,AT,SHT,AHT,+1.5,-1.5,OS,+>=-,target
265,Ponte Preta,Coritiba,3,0,1.45,2.7,3,1,1
266,Athletico-PR,Corinthians,1,4,1.42,2.7,5,1,1
267,Grêmio,Chapecoense,2,3,1.42,2.8,5,1,1
268,Santos,Goiás,3,1,1.33,3.2,4,1,1
269,Sport Recife,Atlético Mineiro,4,1,1.3,3.2,5,1,1
270,Fluminense,Athletico-PR,0,1,1.45,2.7,1,1,0
271,Figueirense,Santos,0,0,1.35,3.0,0,1,0
272,Internacional,Joinville,1,0,1.35,3.1,1,1,0
273,Palmeiras,Sport Recife,0,2,1.3,3.3,2,1,1
274,Chapecoense,Avaí,0,0,1.48,2.6,0,1,0
275,Corinthians,Flamengo,1,0,1.38,3.0,1,1,0
276,Coritiba,São Paulo,1,2,1.38,2.9,3,1,1
277,Vasco da Gama,Grêmio,0,0,1.45,2.7,0,1,0
278,Atlético Mineiro,Ponte Preta,2,1,1.25,3.75,3,1,1
279,São Paulo,Sport Recife,3,0,1.33,3.2,3,1,1
280,Avaí,Cruzeiro,1,1,1.42,2.8,2,1,1
281,Ponte Preta,Joinville,1,0,1.42,2.8,1,1,0
282,Coritiba,Figueirense,1,1,1.45,2.7,2,1,1
283,Atlético Mineiro,Corinthians,0,3,1.35,3.1,3,1,1
284,Chapecoense,Athletico-PR,0,0,1.42,2.8,0,1,0
285,Grêmio,Flamengo,2,0,1.4,2.8,2,1,1
286,Santos,Palmeiras,2,1,1.3,3.4,3,1,1
287,Vasco da Gama,Fluminense,0,1,1.4,2.9,1,1,0
288,Goiás,Internacional,2,1,1.42,2.7,3,1,1
289,Internacional,Ponte Preta,1,0,1.35,3.1,1,1,0
290,Athletico-PR,Avaí,2,1,1.4,2.85,3,1,1
291,Corinthians,Coritiba,2,1,1.33,3.2,3,1,1
292,Fluminense,Chapecoense,2,3,1.5,2.5,5,1,1
293,Cruzeiro,São Paulo,2,1,1.42,2.8,3,1,1
294,Figueirense,Atlético Mineiro,0,1,1.35,3.0,1,1,0
295,Flamengo,Goiás,4,1,1.35,3.0,5,1,1
296,Palmeiras,Vasco da Gama,0,2,1.25,3.75,2,1,1
297,Joinville,Santos,0,0,1.33,3.1,0,1,0
298,Sport Recife,Grêmio,1,0,1.4,2.8,1,1,0
299,Cruzeiro,Sport Recife,3,0,1.3,3.4,3,1,1
300,Goiás,Coritiba,1,3,1.38,3.0,4,1,1
301,Athletico-PR,Palmeiras,3,3,1.35,3.0,6,1,1
302,Avaí,Joinville,2,1,1.45,2.65,3,1,1
303,Ponte Preta,Figueirense,0,1,1.4,2.8,1,1,0
304,Chapecoense,Internacional,1,0,1.48,2.55,1,1,0
305,Grêmio,Fluminense,1,0,1.35,3.0,1,1,0
306,São Paulo,Atlético Mineiro,4,2,1.22,3.75,6,1,1
307,Vasco da Gama,Corinthians,1,1,1.42,2.7,2,1,1
308,Palmeiras,Cruzeiro,1,1,1.33,3.1,2,1,1
309,Atlético Mineiro,Goiás,2,2,1.2,4.3,4,1,1
310,Corinthians,São Paulo,6,1,1.35,3.0,7,1,1
311,Figueirense,Chapecoense,0,0,1.42,2.7,0,1,0
312,Internacional,Grêmio,1,0,1.45,2.6,1,1,0
313,Flamengo,Ponte Preta,1,1,1.35,3.0,2,1,1
314,Coritiba,Santos,1,0,1.35,3.1,1,1,0
315,Fluminense,Avaí,3,1,1.45,2.7,4,1,1
316,Sport Recife,Athletico-PR,0,0,1.33,3.2,0,1,0
317,São Paulo,Figueirense,3,2,1.3,3.3,5,1,1
318,Fluminense,Internacional,1,1,1.38,2.9,2,1,1
319,Avaí,Ponte Preta,1,0,1.35,3.0,1,1,0
320,Cruzeiro,Joinville,3,0,1.25,3.75,3,1,1
321,Grêmio,Atlético Mineiro,2,1,1.33,3.2,3,1,1
322,Sport Recife,Corinthians,2,0,1.3,3.2,2,1,1
323,Chapecoense,Goiás,1,3,1.35,3.0,4,1,1
324,Palmeiras,Coritiba,0,2,1.35,3.0,2,1,1
325,Flamengo,Sport Recife,1,0,1.35,2.85,1,1,0
326,Palmeiras,Athletico-PR,4,0,1.35,2.8,4,1,1
327,Atlético Mineiro,Santos,1,0,1.35,2.8,1,1,0
328,Coritiba,Cruzeiro,1,0,1.45,2.5,1,1,0
329,Botafogo,São Paulo,0,1,1.45,2.55,1,1,0
330,Santa Cruz,Vitória,4,1,1.38,2.8,5,1,1
331,América-MG,Fluminense,0,1,1.38,2.8,1,1,0
332,Corinthians,Grêmio,0,0,1.45,2.45,0,1,0
333,Figueirense,Ponte Preta,0,0,1.45,2.45,0,1,0
334,Internacional,Chapecoense,0,0,1.45,2.55,0,1,0
335,Ponte Preta,Palmeiras,2,1,1.42,2.55,3,1,1
336,Fluminense,Santa Cruz,2,2,1.35,2.85,4,1,1
337,Cruzeiro,Figueirense,2,2,1.42,2.65,4,1,1
338,Athletico-PR,Atlético Mineiro,1,1,1.38,2.75,2,1,1
339,Santos,Coritiba,2,1,1.38,2.8,3,1,1
340,Chapecoense,América-MG,3,1,1.45,2.55,4,1,1
341,Grêmio,Flamengo,1,0,1.42,2.55,1,1,0
342,São Paulo,Internacional,1,2,1.45,2.55,3,1,1
343,Vitória,Corinthians,3,2,1.42,2.65,5,1,1
344,Sport Recife,Botafogo,1,1,1.38,2.8,2,1,1
345,Botafogo,Athletico-PR,2,1,1.42,2.55,3,1,1
346,Figueirense,Santos,2,2,1.45,2.55,4,1,1
347,América-MG,Vitória,1,1,1.3,3.0,2,1,1
348,Flamengo,Chapecoense,2,2,1.45,2.55,4,1,1
349,Flamengo,Chapecoense,2,2,1.45,2.55,4,1,1
350,Palmeiras,Fluminense,2,0,1.35,2.9,2,1,1
351,Santa Cruz,Cruzeiro,4,1,1.35,2.8,5,1,1
352,Corinthians,Ponte Preta,3,0,1.3,3.0,3,1,1
353,Internacional,Sport Recife,1,0,1.45,2.55,1,1,0
354,Atlético Mineiro,Grêmio,0,3,1.42,2.65,3,1,1
355,Cruzeiro,América-MG,1,1,1.33,2.9,2,1,1
356,Athletico-PR,Figueirense,2,1,1.35,2.8,3,1,1
357,Chapecoense,Santa Cruz,1,1,1.35,2.8,2,1,1
358,Ponte Preta,Flamengo,1,2,1.4,2.75,3,1,1
359,Sport Recife,Corinthians,0,2,1.45,2.55,2,1,1
360,Fluminense,Botafogo,1,0,1.4,2.75,1,1,0
361,São Paulo,Palmeiras,1,0,1.4,2.7,1,1,0
362,Vitória,Atlético Mineiro,1,1,1.33,3.0,2,1,1
363,Grêmio,Coritiba,2,0,1.4,2.65,2,1,1
364,Santos,Internacional,0,1,1.42,2.55,1,1,0
365,Internacional,Athletico-PR,1,0,1.38,2.75,1,1,0
366,Corinthians,Santos,1,0,1.45,2.55,1,1,0
367,Coritiba,Chapecoense,3,4,1.55,2.3,7,1,1
368,Santa Cruz,Sport Recife,0,1,1.4,2.75,1,1,0
369,Santa Cruz,Sport Recife,0,1,1.4,2.75,1,1,0
370,Botafogo,Cruzeiro,0,1,1.4,2.75,1,1,0
371,Figueirense,São Paulo,1,0,1.45,2.5,1,1,0
372,América-MG,Ponte Preta,1,2,1.4,2.75,3,1,1
373,Flamengo,Vitória,1,0,1.25,3.4,1,1,0
374,Palmeiras,Grêmio,4,3,1.4,2.75,7,1,1
375,Athletico-PR,Santa Cruz,1,0,1.3,3.0,1,1,0
376,Chapecoense,Fluminense,0,0,1.42,2.55,0,1,0
377,Corinthians,Coritiba,2,1,1.38,2.8,3,1,1
378,América-MG,Figueirense,1,0,1.45,2.5,1,1,0
379,Santos,Botafogo,3,0,1.42,2.55,3,1,1
380,Flamengo,Palmeiras,1,2,1.38,2.8,3,1,1
381,Grêmio,Ponte Preta,1,0,1.4,2.75,1,1,0
382,Sport Recife,Atlético Mineiro,4,4,1.35,2.8,8,1,1
383,Vitória,Internacional,1,0,1.45,2.55,1,1,0
384,Cruzeiro,São Paulo,0,1,1.42,2.55,1,1,0
385,Internacional,América-MG,3,1,1.38,2.8,4,1,1
386,Ponte Preta,Chapecoense,2,1,1.42,2.6,3,1,1
387,Fluminense,Grêmio,1,1,1.48,2.45,2,1,1
388,São Paulo,Athletico-PR,1,2,1.35,2.8,3,1,1
389,Botafogo,Vitória,1,1,1.35,2.8,2,1,1
390,Coritiba,Sport Recife,3,2,1.42,2.6,5,1,1
391,Atlético Mineiro,Cruzeiro,2,3,1.35,2.9,5,1,1
392,Figueirense,Flamengo,1,0,1.42,2.55,1,1,0
393,Santa Cruz,Santos,0,2,1.48,2.4,2,1,1
394,Santos,Sport Recife,1,2,1.33,3.0,3,1,1
395,Chapecoense,Grêmio,3,3,1.5,2.35,6,1,1
396,Ponte Preta,Athletico-PR,3,2,1.4,2.75,5,1,1
397,São Paulo,Vitória,2,0,1.28,3.2,2,1,1
398,Botafogo,América-MG,3,1,1.38,2.8,4,1,1
399,Santa Cruz,Figueirense,1,0,1.42,2.55,1,1,0
400,Santos,Sport Recife,2,0,1.3,3.2,2,1,1
401,Coritiba,Palmeiras,2,2,1.38,2.75,4,1,1
402,Cruzeiro,Flamengo,0,1,1.38,2.8,1,1,0
403,Internacional,Atlético Mineiro,2,0,1.33,3.0,2,1,1
404,Fluminense,Corinthians,1,0,1.42,2.55,1,1,0
405,Palmeiras,Santa Cruz,3,1,1.22,3.5,4,1,1
