,HT,AT,SHT,AHT,+0.5,-0.5,+1.5,-1.5,+2.5,-2.5,+3.5,-3.5,OS
262,Avaí,Palmeiras,1,3,1.08,1.08,1.42,2.8,2.25,1.62,4.0,1.2,4
263,Joinville,Figueirense,1,0,1.09,1.09,1.45,2.7,2.3,1.6,4.3,1.2,1
264,Cruzeiro,Fluminense,2,0,1.08,1.08,1.4,2.8,2.2,1.65,4.0,1.22,2
265,Ponte Preta,Coritiba,3,0,1.09,1.09,1.45,2.7,2.3,1.6,4.3,1.2,3
266,Athletico-PR,Corinthians,1,4,1.09,1.09,1.42,2.7,2.25,1.62,4.15,1.2,5
267,Grêmio,Chapecoense,2,3,1.08,1.08,1.42,2.8,2.2,1.65,4.0,1.2,5
268,Santos,Goiás,3,1,1.06,1.06,1.33,3.2,2.0,1.8,3.4,1.3,4
269,Sport Recife,Atlético Mineiro,4,1,1.05,1.05,1.3,3.2,2.0,1.8,3.2,1.3,5
270,Fluminense,Athletico-PR,0,1,1.09,1.09,1.45,2.7,2.3,1.6,4.3,1.2,1
271,Figueirense,Santos,0,0,1.07,1.07,1.35,3.0,2.1,1.7,3.6,1.25,0
272,Internacional,Joinville,1,0,1.06,1.06,1.35,3.1,2.15,1.7,3.5,1.25,1
273,Palmeiras,Sport Recife,0,2,1.05,1.05,1.3,3.3,1.96,1.97,3.2,1.33,2
274,Chapecoense,Avaí,0,0,1.1,1.1,1.48,2.6,2.4,1.53,4.4,1.18,0
275,Corinthians,Flamengo,1,0,1.07,1.07,1.38,3.0,2.1,1.7,3.75,1.25,1
276,Coritiba,São Paulo,1,2,1.08,1.08,1.38,2.9,2.15,1.67,3.75,1.22,3
277,Vasco da Gama,Grêmio,0,0,1.09,1.09,1.45,2.7,2.25,1.62,4.3,1.2,0
278,Atlético Mineiro,Ponte Preta,2,1,1.04,1.04,1.25,3.75,1.8,2.0,3.0,1.38,3
279,São Paulo,Sport Recife,3,0,1.06,1.06,1.33,3.2,2.05,1.75,3.4,1.3,3
280,Avaí,Cruzeiro,1,1,1.09,1.09,1.42,2.8,2.2,1.65,4.0,1.22,2
281,Ponte Preta,Joinville,1,0,1.08,1.08,1.42,2.8,2.2,1.65,4.0,1.2,1
282,Coritiba,Figueirense,1,1,1.09,1.09,1.45,2.7,2.25,1.62,4.3,1.2,2
283,Atlético Mineiro,Corinthians,0,3,1.06,1.06,1.35,3.1,2.05,1.75,3.5,1.25,3
284,Chapecoense,Athletico-PR,0,0,1.09,1.09,1.42,2.8,2.25,1.62,4.0,1.22,0
285,Grêmio,Flamengo,2,0,1.08,1.08,1.4,2.8,2.2,1.65,4.0,1.22,2
286,Santos,Palmeiras,2,1,1.05,1.05,1.3,3.4,1.95,1.85,3.2,1.33,3
287,Vasco da Gama,Fluminense,0,1,1.08,1.08,1.4,2.9,2.15,1.67,3.9,1.22,1
288,Goiás,Internacional,2,1,1.09,1.09,1.42,2.7,2.25,1.62,4.25,1.2,3
289,Internacional,Ponte Preta,1,0,1.07,1.07,1.35,3.1,2.08,1.73,3.5,1.25,1
290,Athletico-PR,Avaí,2,1,1.08,1.08,1.4,2.85,2.2,1.65,4.0,1.22,3
291,Corinthians,Coritiba,2,1,1.05,1.05,1.33,3.2,1.95,1.85,3.4,1.3,3
292,Fluminense,Chapecoense,2,3,1.1,1.1,1.5,2.5,2.6,1.48,4.75,1.16,5
293,Cruzeiro,São Paulo,2,1,1.08,1.08,1.42,2.8,2.25,1.62,4.0,1.2,3
294,Figueirense,Atlético Mineiro,0,1,1.07,1.07,1.35,3.0,2.05,1.75,3.6,1.25,1
295,Flamengo,Goiás,4,1,1.07,1.07,1.35,3.0,2.05,1.75,3.6,1.25,5
296,Palmeiras,Vasco da Gama,0,2,1.04,1.04,1.25,3.75,1.85,1.95,3.0,1.38,2
297,Joinville,Santos,0,0,1.06,1.06,1.33,3.1,2.0,1.8,3.4,1.28,0
298,Sport Recife,Grêmio,1,0,1.08,1.08,1.4,2.8,2.25,1.62,4.0,1.22,1
299,Cruzeiro,Sport Recife,3,0,1.05,1.05,1.3,3.4,1.95,1.85,3.2,1.33,3
300,Goiás,Coritiba,1,3,1.08,1.08,1.38,3.0,2.2,1.65,3.75,1.22,4
301,Athletico-PR,Palmeiras,3,3,1.07,1.07,1.35,3.0,2.08,1.73,3.5,1.25,6
302,Avaí,Joinville,2,1,1.09,1.09,1.45,2.65,2.35,1.57,4.3,1.18,3
303,Ponte Preta,Figueirense,0,1,1.08,1.08,1.4,2.8,2.25,1.62,4.0,1.22,1
304,Chapecoense,Internacional,1,0,1.1,1.1,1.48,2.55,2.5,1.5,4.5,1.18,1
305,Grêmio,Fluminense,1,0,1.07,1.07,1.35,3.0,2.08,1.73,3.75,1.25,1
306,São Paulo,Atlético Mineiro,4,2,1.04,1.04,1.22,3.75,1.73,2.08,2.8,1.4,6
307,Vasco da Gama,Corinthians,1,1,1.09,1.09,1.42,2.7,2.4,1.53,4.15,1.2,2
308,Palmeiras,Cruzeiro,1,1,1.06,1.06,1.33,3.1,2.05,1.75,3.4,1.28,2
309,Atlético Mineiro,Goiás,2,2,1.03,1.03,1.2,4.3,1.62,2.25,2.5,1.48,4
310,Corinthians,São Paulo,6,1,1.07,1.07,1.35,3.0,2.05,1.75,3.5,1.25,7
311,Figueirense,Chapecoense,0,0,1.08,1.08,1.42,2.7,2.3,1.6,4.3,1.2,0
312,Internacional,Grêmio,1,0,1.09,1.09,1.45,2.6,2.35,1.57,4.3,1.18,1
313,Flamengo,Ponte Preta,1,1,1.07,1.07,1.35,3.0,2.08,1.73,3.7,1.25,2
314,Coritiba,Santos,1,0,1.07,1.07,1.35,3.1,2.05,1.75,3.5,1.25,1
315,Fluminense,Avaí,3,1,1.09,1.09,1.45,2.7,2.25,1.62,4.3,1.2,4
316,Sport Recife,Athletico-PR,0,0,1.06,1.06,1.33,3.2,2.0,1.8,3.3,1.3,0
317,São Paulo,Figueirense,3,2,1.05,1.05,1.3,3.3,2.0,1.8,3.2,1.3,5
318,Fluminense,Internacional,1,1,1.08,1.08,1.38,2.9,2.1,1.7,3.75,1.22,2
319,Avaí,Ponte Preta,1,0,1.07,1.07,1.35,3.0,2.1,1.7,3.5,1.25,1
320,Cruzeiro,Joinville,3,0,1.04,1.04,1.25,3.75,1.8,2.0,3.0,1.38,3
321,Grêmio,Atlético Mineiro,2,1,1.06,1.06,1.33,3.2,1.95,1.85,3.4,1.3,3
322,Sport Recife,Corinthians,2,0,1.05,1.05,1.3,3.2,1.95,1.85,3.2,1.3,2
323,Chapecoense,Goiás,1,3,1.07,1.07,1.35,3.0,2.15,1.67,3.7,1.25,4
324,Palmeiras,Coritiba,0,2,1.07,1.07,1.35,3.0,2.1,1.7,3.75,1.25,2
325,Flamengo,Sport Recife,1,0,1.06,1.06,1.35,2.85,2.05,1.75,3.3,1.25,1
326,Palmeiras,Athletico-PR,4,0,1.07,1.07,1.35,2.8,2.1,1.7,3.5,1.25,4
327,Atlético Mineiro,Santos,1,0,1.07,1.07,1.35,2.8,2.1,1.7,3.5,1.25,1
328,Coritiba,Cruzeiro,1,0,1.09,1.09,1.45,2.5,2.4,1.53,4.0,1.18,1
329,Botafogo,São Paulo,0,1,1.09,1.09,1.45,2.55,2.3,1.6,4.0,1.2,1
330,Santa Cruz,Vitória,4,1,1.07,1.07,1.38,2.8,2.15,1.67,3.5,1.22,5
331,América-MG,Fluminense,0,1,1.07,1.07,1.38,2.8,2.1,1.7,3.5,1.25,1
332,Corinthians,Grêmio,0,0,1.09,1.09,1.45,2.45,2.4,1.53,4.1,1.18,0
333,Figueirense,Ponte Preta,0,0,1.1,1.1,1.45,2.45,2.4,1.53,4.0,1.18,0
334,Internacional,Chapecoense,0,0,1.09,1.09,1.45,2.55,2.4,1.53,4.0,1.18,0
335,Ponte Preta,Palmeiras,2,1,1.09,1.09,1.42,2.55,2.35,1.57,4.0,1.2,3
336,Fluminense,Santa Cruz,2,2,1.07,1.07,1.35,2.85,2.08,1.73,3.3,1.25,4
337,Cruzeiro,Figueirense,2,2,1.08,1.08,1.42,2.65,2.25,1.62,3.8,1.2,4
338,Athletico-PR,Atlético Mineiro,1,1,1.08,1.08,1.38,2.75,2.15,1.67,3.5,1.22,2
339,Santos,Coritiba,2,1,1.07,1.07,1.38,2.8,2.15,1.67,3.5,1.25,3
340,Chapecoense,América-MG,3,1,1.09,1.09,1.45,2.55,2.35,1.57,4.0,1.2,4
341,Grêmio,Flamengo,1,0,1.09,1.09,1.42,2.55,2.35,1.57,4.0,1.2,1
342,São Paulo,Internacional,1,2,1.09,1.09,1.45,2.55,2.35,1.57,4.0,1.2,3
343,Vitória,Corinthians,3,2,1.09,1.09,1.42,2.65,2.35,1.57,3.8,1.2,5
344,Sport Recife,Botafogo,1,1,1.07,1.07,1.38,2.8,2.1,1.7,3.5,1.22,2
345,Botafogo,Athletico-PR,2,1,1.08,1.08,1.42,2.55,2.3,1.6,3.9,1.2,3
346,Figueirense,Santos,2,2,1.09,1.09,1.45,2.55,2.35,1.57,4.0,1.2,4
347,América-MG,Vitória,1,1,1.06,1.06,1.3,3.0,2.0,1.8,3.0,1.3,2
348,Flamengo,Chapecoense,2,2,1.09,1.09,1.45,2.55,2.35,1.57,4.0,1.2,4
349,Flamengo,Chapecoense,2,2,1.09,1.09,1.45,2.55,2.35,1.57,4.0,1.2,4
350,Palmeiras,Fluminense,2,0,1.06,1.06,1.35,2.9,2.1,1.7,3.3,1.28,2
351,Santa Cruz,Cruzeiro,4,1,1.07,1.07,1.35,2.8,2.08,1.73,3.5,1.25,5
352,Corinthians,Ponte Preta,3,0,1.06,1.06,1.3,3.0,1.95,1.85,3.1,1.3,3
353,Internacional,Sport Recife,1,0,1.09,1.09,1.45,2.55,2.3,1.6,4.0,1.18,1
354,Atlético Mineiro,Grêmio,0,3,1.08,1.08,1.42,2.65,2.25,1.62,3.8,1.2,3
355,Cruzeiro,América-MG,1,1,1.06,1.06,1.33,2.9,2.05,1.75,3.2,1.28,2
356,Athletico-PR,Figueirense,2,1,1.07,1.07,1.35,2.8,2.1,1.7,3.5,1.25,3
357,Chapecoense,Santa Cruz,1,1,1.07,1.07,1.35,2.8,2.08,1.73,3.5,1.25,2
358,Ponte Preta,Flamengo,1,2,1.08,1.08,1.4,2.75,2.15,1.67,3.6,1.22,3
359,Sport Recife,Corinthians,0,2,1.09,1.09,1.45,2.55,2.35,1.57,4.0,1.2,2
360,Fluminense,Botafogo,1,0,1.07,1.07,1.4,2.75,2.2,1.65,3.6,1.22,1
361,São Paulo,Palmeiras,1,0,1.08,1.08,1.4,2.7,2.2,1.65,3.8,1.22,1
362,Vitória,Atlético Mineiro,1,1,1.06,1.06,1.33,3.0,2.0,1.8,3.2,1.3,2
363,Grêmio,Coritiba,2,0,1.08,1.08,1.4,2.65,2.2,1.65,3.8,1.22,2
364,Santos,Internacional,0,1,1.09,1.09,1.42,2.55,2.35,1.57,3.9,1.2,1
365,Internacional,Athletico-PR,1,0,1.08,1.08,1.38,2.75,2.25,1.62,3.5,1.22,1
366,Corinthians,Santos,1,0,1.09,1.09,1.45,2.55,2.3,1.6,4.0,1.18,1
367,Coritiba,Chapecoense,3,4,1.12,1.12,1.55,2.3,2.7,1.44,4.6,1.15,7
368,Santa Cruz,Sport Recife,0,1,1.08,1.08,1.4,2.75,2.15,1.67,3.7,1.22,1
369,Santa Cruz,Sport Recife,0,1,1.08,1.08,1.4,2.75,2.15,1.67,3.7,1.22,1
370,Botafogo,Cruzeiro,0,1,1.08,1.08,1.4,2.75,2.15,1.67,3.6,1.22,1
371,Figueirense,São Paulo,1,0,1.1,1.1,1.45,2.5,2.4,1.53,4.0,1.18,1
372,América-MG,Ponte Preta,1,2,1.08,1.08,1.4,2.75,2.4,1.53,3.75,1.22,3
373,Flamengo,Vitória,1,0,1.04,1.04,1.25,3.4,1.85,1.95,2.8,1.38,1
374,Palmeiras,Grêmio,4,3,1.08,1.08,1.4,2.75,2.2,1.65,3.75,1.22,7
375,Athletico-PR,Santa Cruz,1,0,1.05,1.05,1.3,3.0,2.0,1.8,3.0,1.3,1
376,Chapecoense,Fluminense,0,0,1.09,1.09,1.42,2.55,2.35,1.57,4.0,1.2,0
377,Corinthians,Coritiba,2,1,1.07,1.07,1.38,2.8,2.08,1.73,3.5,1.25,3
378,América-MG,Figueirense,1,0,1.09,1.09,1.45,2.5,2.4,1.53,4.0,1.18,1
379,Santos,Botafogo,3,0,1.08,1.08,1.42,2.55,2.25,1.62,4.0,1.2,3
380,Flamengo,Palmeiras,1,2,1.07,1.07,1.38,2.8,2.1,1.7,3.5,1.25,3
381,Grêmio,Ponte Preta,1,0,1.08,1.08,1.4,2.75,2.15,1.67,3.8,1.22,1
382,Sport Recife,Atlético Mineiro,4,4,1.07,1.07,1.35,2.8,2.08,1.73,3.4,1.25,8
383,Vitória,Internacional,1,0,1.09,1.09,1.45,2.55,2.4,1.53,4.0,1.18,1
384,Cruzeiro,São Paulo,0,1,1.09,1.09,1.42,2.55,2.4,1.53,3.9,1.2,1
385,Internacional,América-MG,3,1,1.07,1.07,1.38,2.8,2.1,1.7,3.5,1.22,4
386,Ponte Preta,Chapecoense,2,1,1.09,1.09,1.42,2.6,2.35,1.57,3.8,1.2,3
387,Fluminense,Grêmio,1,1,1.1,1.1,1.48,2.45,2.4,1.53,4.25,1.18,2
388,São Paulo,Athletico-PR,1,2,1.07,1.07,1.35,2.8,2.2,1.65,3.4,1.25,3
389,Botafogo,Vitória,1,1,1.07,1.07,1.35,2.8,2.08,1.73,3.5,1.25,2
390,Coritiba,Sport Recife,3,2,1.08,1.08,1.42,2.6,2.25,1.62,3.9,1.2,5
391,Atlético Mineiro,Cruzeiro,2,3,1.06,1.06,1.35,2.9,2.05,1.75,3.3,1.28,5
392,Figueirense,Flamengo,1,0,1.09,1.09,1.42,2.55,2.35,1.57,3.9,1.2,1
393,Santa Cruz,Santos,0,2,1.1,1.1,1.48,2.4,2.4,1.53,4.25,1.17,2
394,Santos,Sport Recife,1,2,1.06,1.06,1.33,3.0,2.05,1.75,3.2,1.3,3
395,Chapecoense,Grêmio,3,3,1.11,1.11,1.5,2.35,2.6,1.48,4.4,1.16,6
396,Ponte Preta,Athletico-PR,3,2,1.08,1.08,1.4,2.75,2.15,1.67,3.8,1.22,5
397,São Paulo,Vitória,2,0,1.05,1.05,1.28,3.2,1.94,1.96,3.0,1.33,2
398,Botafogo,América-MG,3,1,1.07,1.07,1.38,2.8,2.1,1.7,3.5,1.25,4
399,Santa Cruz,Figueirense,1,0,1.09,1.09,1.42,2.55,2.25,1.62,4.0,1.2,1
400,Santos,Sport Recife,2,0,1.05,1.05,1.3,3.2,1.9,1.9,3.0,1.33,2
401,Coritiba,Palmeiras,2,2,1.08,1.08,1.38,2.75,2.1,1.7,3.5,1.22,4
402,Cruzeiro,Flamengo,0,1,1.08,1.08,1.38,2.8,2.26,1.69,3.5,1.22,1
403,Internacional,Atlético Mineiro,2,0,1.06,1.06,1.33,3.0,2.0,1.8,3.2,1.3,2
404,Fluminense,Corinthians,1,0,1.09,1.09,1.42,2.55,2.4,1.53,4.0,1.2,1
405,Palmeiras,Santa Cruz,3,1,1.04,1.04,1.22,3.5,1.76,2.16,2.7,1.4,4
406,Athletico-PR,Santos,1,0,1.07,1.07,1.35,2.8,2.19,1.74,3.5,1.25,1
407,América-MG,Coritiba,2,1,1.08,1.08,1.4,2.75,2.3,1.62,3.75,1.22,3
408,Atlético Mineiro,Ponte Preta,3,0,1.04,1.04,1.25,3.4,1.8,2.0,2.8,1.38,3
409,Vitória,Chapecoense,1,2,1.07,1.07,1.38,2.8,2.15,1.67,3.5,1.25,3
410,Corinthians,Botafogo,3,1,1.05,1.05,1.3,3.0,2.03,1.87,3.0,1.3,4
411,Figueirense,Internacional,3,2,1.1,1.1,1.48,2.45,2.5,1.52,4.15,1.18,5
412,Flamengo,São Paulo,2,2,1.09,1.09,1.42,2.55,2.3,1.6,3.8,1.2,4
413,Sport Recife,Fluminense,2,1,1.08,1.08,1.42,2.65,2.25,1.62,3.8,1.2,3
414,Grêmio,Cruzeiro,2,0,1.07,1.07,1.38,2.8,2.15,1.67,3.5,1.25,2
415,Palmeiras,América-MG,2,0,1.02,1.02,1.18,4.0,1.67,2.29,2.35,1.5,2
416,Chapecoense,Athletico-PR,0,0,1.1,1.1,1.48,2.4,2.5,1.5,4.25,1.18,0
417,Chapecoense,Athletico-PR,0,0,1.1,1.1,1.48,2.4,2.5,1.5,4.25,1.18,0
418,Botafogo,Figueirense,0,0,1.08,1.08,1.4,2.75,2.15,1.67,3.6,1.22,0
419,Santa Cruz,Flamengo,0,1,1.07,1.07,1.35,2.8,2.1,1.7,3.5,1.25,1
420,Atlético Mineiro,Corinthians,2,1,1.06,1.06,1.35,2.9,2.05,1.75,3.3,1.28,3
421,Grêmio,Vitória,1,2,1.04,1.04,1.28,3.3,1.94,1.96,2.9,1.35,3
422,São Paulo,Sport Recife,0,0,1.04,1.04,1.28,3.3,1.9,2.0,2.85,1.35,0
423,Coritiba,Internacional,1,1,1.08,1.08,1.42,2.65,2.25,1.62,3.8,1.2,2
424,Cruzeiro,Palmeiras,2,1,1.07,1.07,1.38,2.8,2.1,1.7,3.5,1.25,3
425,Corinthians,Santa Cruz,2,1,1.04,1.04,1.25,3.5,1.85,1.95,2.8,1.38,3
426,América-MG,Atlético Mineiro,0,1,1.05,1.05,1.28,3.2,1.9,1.9,2.9,1.33,1
427,Athletico-PR,Grêmio,2,0,1.1,1.1,1.45,2.45,2.4,1.53,4.1,1.18,2
428,Flamengo,Fluminense,1,2,1.08,1.08,1.42,2.65,2.2,1.65,3.8,1.22,3
429,Internacional,Botafogo,2,3,1.06,1.06,1.33,2.9,2.05,1.75,3.2,1.28,5
430,Santos,São Paulo,3,0,1.08,1.08,1.4,2.65,2.25,1.62,3.8,1.22,3
431,Vitória,Ponte Preta,1,1,1.07,1.07,1.35,2.8,2.05,1.75,3.4,1.25,2
432,Figueirense,Coritiba,0,0,1.1,1.1,1.45,2.45,2.5,1.5,4.0,1.18,0
433,Sport Recife,Chapecoense,5,1,1.07,1.07,1.38,2.8,2.15,1.67,3.5,1.25,6
434,Flamengo,Internacional,1,0,1.08,1.08,1.4,2.75,2.15,1.67,3.7,1.22,1
435,Grêmio,Santos,3,2,1.08,1.08,1.38,2.75,2.15,1.67,3.5,1.22,5
436,Vitória,Sport Recife,3,2,1.07,1.07,1.35,2.9,2.08,1.73,3.3,1.28,5
437,Chapecoense,Cruzeiro,3,2,1.08,1.08,1.42,2.65,2.25,1.62,3.8,1.22,5
438,Chapecoense,Cruzeiro,3,2,1.08,1.08,1.42,2.65,2.25,1.62,3.8,1.22,5
439,América-MG,Corinthians,0,2,1.09,1.09,1.42,2.55,2.25,1.62,4.0,1.2,2
440,São Paulo,Fluminense,2,1,1.09,1.09,1.42,2.55,2.3,1.6,4.0,1.2,3
441,Palmeiras,Figueirense,4,0,1.03,1.03,1.22,3.5,1.75,2.05,2.75,1.4,4
442,Santa Cruz,Ponte Preta,0,3,1.08,1.08,1.4,2.75,2.15,1.67,3.6,1.22,3
443,Atlético Mineiro,Botafogo,5,3,1.03,1.03,1.22,3.8,1.7,2.1,2.55,1.45,8
444,Fluminense,Coritiba,0,0,1.08,1.08,1.42,2.65,2.25,1.62,3.8,1.2,0
445,Athletico-PR,América-MG,1,0,1.05,1.05,1.3,3.1,1.95,1.85,3.0,1.3,1
446,Cruzeiro,Vitória,2,2,1.04,1.04,1.22,3.5,1.75,2.05,2.65,1.4,4
447,Internacional,Grêmio,0,1,1.09,1.09,1.42,2.55,2.35,1.57,3.9,1.2,1
448,Botafogo,Santa Cruz,2,1,1.05,1.05,1.3,3.2,2.0,1.8,3.0,1.33,3
449,Corinthians,Flamengo,4,0,1.09,1.09,1.42,2.55,2.25,1.62,3.9,1.2,4
450,Ponte Preta,São Paulo,1,0,1.09,1.09,1.42,2.55,2.25,1.62,4.0,1.2,1
451,Santos,Chapecoense,3,0,1.04,1.04,1.22,3.5,1.73,2.08,2.65,1.42,3
452,Figueirense,Atlético Mineiro,1,1,1.06,1.06,1.3,3.0,2.0,1.8,3.0,1.3,2
453,Sport Recife,Palmeiras,1,3,1.05,1.05,1.28,3.3,1.8,2.0,2.85,1.35,4
454,Chapecoense,Corinthians,0,2,1.09,1.09,1.42,2.6,2.25,1.62,3.8,1.2,2
455,Coritiba,Botafogo,0,0,1.07,1.07,1.35,2.8,2.0,1.8,3.4,1.25,0
456,Ponte Preta,Sport Recife,2,1,1.06,1.06,1.3,3.1,1.95,1.85,3.0,1.33,3
457,Flamengo,Atlético Mineiro,2,0,1.06,1.06,1.3,3.0,2.05,1.75,3.0,1.3,2
458,Grêmio,Figueirense,2,1,1.05,1.05,1.3,3.2,1.9,1.9,3.0,1.3,3
459,Santa Cruz,Internacional,1,0,1.09,1.09,1.42,2.55,2.35,1.57,3.9,1.2,1
460,São Paulo,América-MG,3,0,1.07,1.07,1.35,2.9,2.08,1.82,3.3,1.28,3
461,Vitória,Fluminense,0,0,1.05,1.05,1.28,3.3,1.85,1.95,2.85,1.35,0
462,Cruzeiro,Athletico-PR,0,3,1.05,1.05,1.3,3.2,1.95,1.85,3.0,1.33,3
463,Palmeiras,Santos,1,1,1.05,1.05,1.28,3.2,1.97,1.93,2.9,1.33,2
464,Botafogo,Flamengo,3,3,1.07,1.07,1.35,2.8,2.1,1.7,3.5,1.25,6
465,Botafogo,Flamengo,3,3,1.07,1.07,1.35,2.8,2.1,1.7,3.5,1.25,6
466,América-MG,Santa Cruz,0,3,1.09,1.09,1.45,2.55,2.25,1.62,4.0,1.2,3
467,Athletico-PR,Vitória,1,1,1.05,1.05,1.3,3.1,1.95,1.85,3.0,1.33,2
468,Corinthians,São Paulo,1,1,1.08,1.08,1.4,2.75,2.15,1.67,3.7,1.22,2
469,Figueirense,Chapecoense,1,1,1.09,1.09,1.45,2.55,2.35,1.57,4.0,1.18,2
470,Fluminense,Cruzeiro,2,0,1.08,1.08,1.4,2.75,2.15,1.67,3.7,1.22,2
471,Internacional,Palmeiras,0,1,1.07,1.07,1.35,2.85,2.05,1.75,3.3,1.25,1
472,Sport Recife,Grêmio,4,2,1.08,1.08,1.4,2.75,2.2,1.65,3.75,1.22,6
473,Corinthians,Figueirense,1,1,1.05,1.05,1.3,3.2,1.95,1.85,3.0,1.33,2
474,Santa Cruz,Coritiba,0,1,1.08,1.08,1.4,2.75,2.2,1.65,3.7,1.22,1
475,Palmeiras,Atlético Mineiro,0,1,1.03,1.03,1.2,3.8,1.67,2.15,2.55,1.45,1
476,Ponte Preta,Internacional,2,2,1.09,1.09,1.42,2.55,2.35,1.57,3.8,1.2,4
477,Athletico-PR,Fluminense,1,0,1.09,1.09,1.45,2.55,2.3,1.6,4.0,1.2,1
478,Chapecoense,Botafogo,2,1,1.07,1.07,1.38,2.8,2.15,1.67,3.5,1.25,3
479,Cruzeiro,Sport Recife,1,2,1.03,1.03,1.2,3.8,1.7,2.1,2.45,1.45,3
480,Grêmio,São Paulo,1,0,1.07,1.07,1.38,2.8,2.15,1.67,3.5,1.22,1
481,Vitória,Santos,2,3,1.05,1.05,1.28,3.3,1.85,1.95,2.8,1.35,5
482,Flamengo,América-MG,2,1,1.04,1.04,1.25,3.5,1.8,2.0,2.75,1.38,3
483,Sport Recife,América-MG,1,1,1.05,1.05,1.3,3.35,1.97,2.02,3.2,1.33,2
484,Vitória,Coritiba,3,1,1.08,1.08,1.38,3.0,2.21,1.74,3.8,1.25,4
485,Athletico-PR,Corinthians,2,0,1.1,1.1,1.48,2.6,2.42,1.55,4.65,1.18,2
486,Ponte Preta,Botafogo,2,0,1.06,1.06,1.33,3.35,2.05,1.86,3.35,1.3,2
487,Grêmio,Santa Cruz,0,0,1.04,1.04,1.28,3.55,1.9,2.02,3.1,1.35,0
488,São Paulo,Atlético Mineiro,1,2,1.05,1.05,1.3,3.35,2.0,1.9,3.2,1.32,3
489,Cruzeiro,Internacional,4,2,1.06,1.06,1.35,3.2,2.13,1.82,3.55,1.27,6
490,Chapecoense,Palmeiras,1,1,1.07,1.07,1.38,3.0,2.21,1.73,3.8,1.25,2
491,Flamengo,Athletico-PR,1,0,1.08,1.08,1.38,3.0,2.23,1.71,3.9,1.24,1
492,Coritiba,Ponte Preta,3,1,1.09,1.09,1.42,2.85,2.31,1.66,4.15,1.22,4
493,Palmeiras,Vitória,2,1,1.03,1.03,1.2,4.4,1.68,2.35,2.5,1.5,3
494,Internacional,Fluminense,2,2,1.08,1.08,1.43,2.75,2.3,1.68,4.25,1.21,4
495,Santa Cruz,São Paulo,1,2,1.08,1.08,1.42,2.85,2.25,1.7,4.0,1.23,3
496,Figueirense,Sport Recife,1,1,1.08,1.08,1.4,2.85,2.25,1.7,4.15,1.22,2
497,Atlético Mineiro,Chapecoense,3,1,1.04,1.04,1.26,3.7,1.87,2.11,3.0,1.38,4
498,Corinthians,Cruzeiro,1,1,1.05,1.05,1.3,3.35,2.05,1.89,3.35,1.3,2
499,Sport Recife,Flamengo,1,0,1.07,1.07,1.35,2.85,2.17,1.8,3.3,1.25,1
500,Ponte Preta,Figueirense,2,0,1.07,1.07,1.35,2.8,2.21,1.74,3.5,1.25,2
501,Fluminense,América-MG,1,0,1.06,1.06,1.33,3.2,2.09,1.88,3.35,1.3,1
502,Grêmio,Corinthians,3,0,1.1,1.1,1.48,2.6,2.42,1.52,4.65,1.18,3
503,Cruzeiro,Coritiba,2,2,1.06,1.06,1.33,3.2,2.08,1.86,3.35,1.3,4
504,São Paulo,Botafogo,0,1,1.06,1.06,1.3,3.35,2.01,1.9,3.2,1.32,1
505,Athletico-PR,Palmeiras,0,1,1.08,1.08,1.4,2.85,2.25,1.71,4.0,1.23,1
506,Chapecoense,Internacional,1,0,1.1,1.1,1.48,2.6,2.42,1.52,4.8,1.18,1
507,América-MG,Chapecoense,1,2,1.09,1.09,1.45,2.67,2.42,1.62,4.4,1.2,3
508,Atlético Mineiro,Athletico-PR,1,0,1.03,1.03,1.23,4.0,1.77,2.14,2.85,1.42,1
509,Flamengo,Grêmio,2,1,1.08,1.08,1.4,2.85,2.26,1.69,4.0,1.23,3
510,Internacional,São Paulo,1,1,1.09,1.09,1.45,2.75,2.3,1.6,4.25,1.21,2
511,Palmeiras,Ponte Preta,2,2,1.06,1.06,1.3,3.35,1.94,1.96,3.2,1.32,4
512,Santa Cruz,Fluminense,0,1,1.08,1.08,1.4,2.85,2.25,1.63,4.0,1.23,1
513,Figueirense,Cruzeiro,1,2,1.08,1.08,1.38,3.0,2.23,1.71,3.9,1.24,3
514,Corinthians,Vitória,2,1,1.03,1.03,1.21,4.25,1.7,2.25,2.67,1.45,3
515,Ponte Preta,Corinthians,2,0,1.09,1.09,1.45,2.67,2.38,1.62,4.4,1.2,2
516,Cruzeiro,Santa Cruz,2,0,1.03,1.03,1.23,4.0,1.79,2.17,2.75,1.43,2
517,Cruzeiro,Santa Cruz,2,0,1.03,1.03,1.23,4.0,1.79,2.17,2.75,1.43,2
518,Chapecoense,Flamengo,1,3,1.09,1.09,1.45,2.67,2.35,1.58,4.4,1.2,4
519,Fluminense,Palmeiras,0,2,1.07,1.07,1.35,3.1,2.07,1.84,3.55,1.27,2
520,Grêmio,Atlético Mineiro,1,1,1.05,1.05,1.28,3.55,1.94,2.02,3.1,1.35,2
521,São Paulo,Coritiba,0,0,1.07,1.07,1.35,3.1,2.21,1.77,3.7,1.26,0
522,Sport Recife,Internacional,1,1,1.09,1.09,1.42,2.85,2.29,1.67,4.15,1.22,2
523,Vitória,América-MG,2,1,1.06,1.06,1.3,3.35,2.0,1.91,3.2,1.32,3
